name,score,time,comment
丁凯乐,5,2019-07-16 13:43:25,实名反对最赞说烂片的评论这是人类无法逃脱的真香定律看完觉得不值票钱可以来快乐星球砍我
嘟嘟熊之父,5,2019-07-13 17:17:05,卧槽居然看哭了这才是货真价实的国漫新希望终于不再是假大空的中国风堆砌而开始借神话寓言塑造真正的小人物背负原罪的出身命中注定的死期对存在的笃定和身份的动摇竟指向刺客聂隐娘的内核一个人没有同类完整的世界观构建父子母子师徒兄弟友敌每一段关系都处理的有血有肉全无敷衍美术剪辑配乐动作设计处处都是亮点就连喜剧部分也绝非装疯卖傻而存在无数细节作为支撑海边夕阳踢毽和社稷图虚幻仙境两部分堪称绝美段落飞驰想象力和一流制作实力的结合值得一刷再刷严格说是四星电影但愿意加满五星狂推鼓励
凹凸,4,2019-07-18 21:38:41,邓超救不起这暑期档哪吒可以
凌睿,4,2019-07-18 13:53:20,看到海报和预告片人们第一反应就是哪吒太丑了觉得丑就对了因为本片讲的就是打破偏见正如很多人一看这是国漫就不看了或者去看了看了觉得还不错也要自动先扣20分电影之中骂哪吒是政治正确只要你说哪吒是妖怪就会有人跟着说电影之外骂国产片国漫也成了政治正确只要你骂它就会有人给你点赞其实哪吒不是妖怪他也想降妖除魔洗清骂名国漫也不都是烂片也有人想拍一部佳作证明自己比如这部哪吒山河社稷图一幕真是天马行空震撼无比将曾经只存在于想象中的物品具象化也将中国神话的无穷想象力展现得淋漓尽致那些耳熟能详的故事不再只是故事而是能看到能听到能享受一场视觉盛宴今年有哪吒明年有姜子牙封神电影宇宙即将开启是时候以电影的形式让中国文化走向世界了
天马星,5,2019-07-14 18:12:22,年度最佳动画不年度最佳影片剧作上的成熟应该让同档期的狮子王跪下来叫爸爸起承转合水到渠成且饱含情感力量这种成熟度不管是在动画这种形式里还是脱离动画都值得所有国产商业电影学习整部影片看下来在形式上非常现代化包括笑点台词都贴近现代网络化的生活是谓形散但是影片把握住了哪吒这个神话人物的内在精神我命由我不由天并且自始至终都贯彻下去是谓神不散包括反派敖丙及申公豹都人物弧光饱满在非我族类其心必异的人类世界里哪吒之魔童降世是为所有异类书写的颂歌这部片子就如同蔡依林在金曲奖上说的献给那些曾经认为自己没有任何机会与选择的你请你一定要记得选择你自己支持你自己
亵渎电影,4,2019-07-13 23:20:07,技术上还是当下国产动画电影的水准但在剧作的完成度上却是第一次这么成熟这么优秀以前大圣大鱼或者白蛇这些剧本有先天缺陷的庸常之辈都被称作是国产动画电影的良心之作直到这部哪吒才算是做到了剧本层面上的优秀兼顾了喜剧元素和主题深度还为之后的封神宇宙开了一个好头大家以后可以忘掉大圣了导演把哪吒的故事做了颠覆性的改编逆天改命的主题在哪吒身上爆发了耀眼的人物弧光最后哪吒直接对着电影院里的观众说今天是我生日宴你们谁都不准哭这一刻的泪点实在是太可怕了第一次给国产动画做自来水在这个萧条的暑期档这部肯定会是爆款
谢谢你们的鱼,5,2019-07-17 21:22:38,牛逼牛逼牛逼4年前翻着白眼看完了大圣归来4年后热泪盈眶地看完这部哪吒之魔童降世没想到2019不仅仅是中国科幻大片元年本片更是和白蛇缘起一块儿创造了国产动漫作品前所未有的高潮扎实的故事生动的角色饱满的情绪炸裂的场面这一切都构成了110分钟云霄飞车式的畅快淋漓的观影体验表面上是哪吒的传奇骨子里面是绝代双骄悟空传毁天灭地的逆天气势更是燃破天际好一曲震撼人心的冰与火之歌都给老子去看
帕拉,2,2019-07-17 22:33:08,这种段子堆成的对白恕不是我的审美
居无间,5,2019-07-13 20:52:13,牛逼了没想到国产动画能把故事内核写得这么成熟远超大圣归来好几场戏被震撼到必须五星鼓励了将水淹陈塘关的故事元素打碎了重构人设和剧情完全依照阴阳哲学来做太极生两仪混元珠分为魔丸火和灵珠水太乙真人与申公豹哪吒与敖丙皆是一体双生命运的偏离带来了秩序的倒错于是善与恶的边界变得越加复杂起来耐人寻味每个主要角色都带着宿命感向死而生阴阳相合打破命运哪吒形象很颠覆华语电影里也是难得一见最重要的反叛精神立住了导演想击打全龄观众而那些嬉笑段落在关键时刻也催生出了悲情让人泪目高潮部分的场面戏够燃够磅礴而且情绪饱满以后再出国产动画都将和它比较
阿珂,4,2019-07-19 11:38:43,这个夏天还有比藕饼cp更火的吗
徐若风,4,2019-07-18 21:23:14,客观上的确是目前国产三维动画中的最佳和年初的白蛇一道富足想象力之下的经典魔改在人物情节和视听呈现上都冲着一股劲不夸张地说这部作品在今年全球范围动画中比都可以排到最前列但还是有些遗憾双生的概念没有做得更加复杂深刻部分低俗笑料虽有趣但跳线可能是我期待太高了
明安,4,2019-07-28 22:05:56,所有龙把鳞片扣下来的时候我真的感觉敖丙压力太大了我们全村可就指望你一个人去考大学了啊一定要上清华啊就算把其他报清华的人都杀掉你也一定要考上啊
掉线,4,2019-07-18 22:55:23,B这才叫真正的国漫崛起美术制作人物塑造立意都比大圣归来更好最重要的是你真的能感觉到创作者不故步自封的力求突破也终于在国漫里看到了一直缺少的想象力存在虽然只是在场景物件设定上这些较为基础的部分但未必不是个好的开始缺点是整体风格略显杂糅笑点像港式无厘头战斗场面像日漫有的地方又有仙侠和好莱坞动画的影子但最后个效果居然不错而且对于仍处于摸索阶段的国产动画来说这完全能理解另外一个动画片的父子情都比隔壁银河补习班更真实动人邓超和俞白眉请出来挨打
影志,5,2019-07-14 21:19:36,不成功变成仁神仙的自我修养申公公内服外敷效果都一样的解药前面快笑死指点江山笔英气的敖丙猪鼻子倒带器中间各种神来之笔人心的偏见是座大山你是谁只有你自己才说了算父母面前的生离死别结尾又被感动得一把老泪老妈的性格更立体老爸李靖对哪吒说你的真实身份其实是时生怕他说出个蛋这是这部毫不正经却又硬气热血至死的片子能干出来的事集丧逼和燃于一身在哪吒面前没人帅的起来锁定今年最佳国产动画
使君子,5,2019-07-19 11:37:10,休说苍天不由人我命由我不由天新的故事改编的很不错啊就是有点短友情提醒观影记得带纸巾
煽情破坏者,5,2019-07-14 20:33:33,神话故事新编以一种不令人悲伤的方式来讲述悲伤的哪吒童年丰富多元充满想象力画面包含幽默热血感人和人生观点的剧情还有安排得当的叙事节奏结尾处高潮更是一波接一波让观众又是激动万分又是感动落泪实在令人佩服这就是一部优秀的动画电影
二十二岛主,4,2019-07-19 11:03:49,戏说不是胡说改编不是乱编把太乙真人设计成和肥猪作伴哪吒和敖丙还能成为朋友如果按照六老师的逻辑这部电影的主创团队是要向本国人民谢罪的但你不能否认它确实足够好看而且并没有脱离封神演义中哪吒故事的框架只是在几个重要的情节点上进行了富有现代意义和人情味的改编很有创新颠覆精神电影中几乎每一个角色都能够立得住尤其是围绕哪吒的觉醒亲情友情都进行了合理且动人的铺垫可以说这三条线每一条单独拎出来想做好都不容易而做好了汇聚起来释放出的力量真的就是又感动又燃本质还是想探讨人定胜天的问题成佛成魔全在一念之间最重要的还是做自己这可比某些鸡汤说教的要容易接受的多小包袱很多但有的实在过于低俗放屁梗熊gay梗那些让人看着实在不舒服总体瑕不掩瑜值得一个好成绩的鼓励
桃桃林林,4,2019-07-26 16:29:58,7分制作确实非常突出尤其是夕阳下踢毽子和变身两场戏印象深刻这也说明华语动画只要真是踏踏实实下来做苦功夫还是能出佳作的剧情相比老版做了很多革新包括新增的父子情这个见仁见智吧主题则是神魔我做主我命由我不由天的中二少年感放到现在倒是挺燃的哪吒变身之后也是大加分跟敖丙的兄弟情也是相当新时代趣味了希望每一部用心制作的华语动画都能有好的成绩吧不过个人还是觉得大圣更好些所以刚刚还专门给大圣改了分这样才公平些都好都好都加油都加油
法兰西胶片,4,2019-07-13 17:30:17,85分逆天之作大家可以给大圣归来改分了
